VEHICLE_NAME;DEV_1;DEV_2;DEV_3;SETUP_USAGE_PERCENT
china:Ch24_Type64;additInvisibilityDevice;coatedOptics;rammer;32.13
china:Ch24_Type64;additInvisibilityDevice;turbocharger;coatedOptics;20.4
china:Ch24_Type64;coatedOptics;aimingStabilizer;rammer;9.94
china:Ch25_121_mod_1971B;ventilation;aimingStabilizer;rammer;32.73
china:Ch25_121_mod_1971B;turbocharger;aimingStabilizer;rammer;11.04
china:Ch25_121_mod_1971B;coatedOptics;additInvisibilityDevice;commandersView;6.52
china:Ch25_121_mod_1971B_MK;ventilation;aimingStabilizer;rammer;39.4
china:Ch25_121_mod_1971B_MK;turbocharger;aimingStabilizer;rammer;18.2
china:Ch25_121_mod_1971B_MK;improvedConfiguration;aimingStabilizer;rammer;6.99
china:Ch26_59_Patton;ventilation;aimingStabilizer;rammer;32.94
china:Ch26_59_Patton;commandersView;additInvisibilityDevice;coatedOptics;17.46
china:Ch26_59_Patton;turbocharger;aimingStabilizer;rammer;14.29
china:Ch28_WZ_132A;commandersView;additInvisibilityDevice;coatedOptics;63.55
china:Ch28_WZ_132A;coatedOptics;commandersView;aimingStabilizer;11.28
china:Ch28_WZ_132A;additInvisibilityDevice;ventilation;coatedOptics;6.78
china:Ch29_Type_62C_prot;commandersView;additInvisibilityDevice;coatedOptics;77.37
china:Ch29_Type_62C_prot;commandersView;additInvisibilityDevice;ventilation;4.43
china:Ch29_Type_62C_prot;commandersView;additInvisibilityDevice;stereoscope;3.46
china:Ch33_60G_FT;stereoscope;additInvisibilityDevice;ventilation;21.45
china:Ch33_60G_FT;ventilation;stereoscope;rammer;16.72
china:Ch33_60G_FT;rammer;improvedSights;turbocharger;12.3
china:Ch34_WZ131G_FT;rammer;stereoscope;ventilation;27.7
china:Ch34_WZ131G_FT;rammer;ventilation;coatedOptics;25.14
china:Ch34_WZ131G_FT;rammer;improvedSights;ventilation;10.01
china:Ch35_T-34-2G_FT;improvedSights;turbocharger;rammer;11.41
china:Ch35_T-34-2G_FT;stereoscope;rotationMechanism;rammer;7.46
china:Ch35_T-34-2G_FT;rammer;improvedSights;coatedOptics;7.25
china:Ch36_WZ111_1G_FT;rammer;turbocharger;improvedSights;9.35
china:Ch36_WZ111_1G_FT;rammer;turbocharger;healthReserve;7.89
china:Ch36_WZ111_1G_FT;rammer;improvedSights;ventilation;7.5
china:Ch37_WZ111G_FT;rammer;turbocharger;rotationMechanism;20.22
china:Ch37_WZ111G_FT;rotationMechanism;modernizedTurbochargerRotationMechanism;rammer;13.67
china:Ch37_WZ111G_FT;improvedSights;turbocharger;rammer;11.98
china:Ch38_WZ113G_FT;rammer;healthReserve;turbocharger;15.75
china:Ch38_WZ113G_FT;rammer;modernizedTurbochargerRotationMechanism;ventilation;11.9
china:Ch38_WZ113G_FT;turbocharger;improvedSights;rammer;11.84
china:Ch39_WZ120_1G_FT;ventilation;enhancedAimDrives;rammer;16.32
china:Ch39_WZ120_1G_FT;rammer;improvedSights;ventilation;12.59
china:Ch39_WZ120_1G_FT;rammer;ventilation;coatedOptics;8.26
china:Ch40_WZ120G_FT;improvedSights;rammer;ventilation;13.08
china:Ch40_WZ120G_FT;improvedSights;rotationMechanism;rammer;12.85
china:Ch40_WZ120G_FT;rammer;improvedSights;enhancedAimDrives;9.58
china:Ch41_WZ_111_5A;healthReserve;aimingStabilizer;rammer;31.01
china:Ch41_WZ_111_5A;ventilation;aimingStabilizer;rammer;16.21
china:Ch41_WZ_111_5A;turbocharger;aimingStabilizer;rammer;13.32
china:Ch41_WZ_111_QL;aimingStabilizer;turbocharger;rammer;28.5
china:Ch41_WZ_111_QL;healthReserve;aimingStabilizer;rammer;25.58
china:Ch41_WZ_111_QL;ventilation;aimingStabilizer;rammer;16.05
china:Ch42_WalkerBulldog_M41D;commandersView;additInvisibilityDevice;coatedOptics;56.42
china:Ch42_WalkerBulldog_M41D;commandersView;coatedOptics;ventilation;20.36
china:Ch42_WalkerBulldog_M41D;ventilation;modernizedAimDrivesAimingStabilizer;rammer;5.06
china:Ch43_WZ_122_2;additInvisibilityDevice;commandersView;coatedOptics;19.99
china:Ch43_WZ_122_2;turbocharger;aimingStabilizer;rammer;18.06
china:Ch43_WZ_122_2;ventilation;aimingStabilizer;rammer;13.11
china:Ch44_114_SP2;rammer;turbocharger;ventilation;15.89
china:Ch44_114_SP2;rammer;modernizedTurbochargerRotationMechanism;ventilation;12.12
china:Ch44_114_SP2;rotationMechanism;rammer;ventilation;9.16
china:Ch45_WZ_114;modernizedTurbochargerRotationMechanism;aimingStabilizer;rammer;19.36
china:Ch45_WZ_114;healthReserve;aimingStabilizer;rammer;16.14
china:Ch45_WZ_114;aimingStabilizer;turbocharger;rammer;11.74
china:Ch47_BZ_176;turbocharger;aimingStabilizer;rammer;24.77
china:Ch47_BZ_176;modernizedTurbochargerRotationMechanism;aimingStabilizer;rammer;15.7
china:Ch47_BZ_176;turbocharger;improvedSights;aimingStabilizer;13.35
china:Ch48_BZ_75;turbocharger;aimingStabilizer;rammer;20.62
china:Ch48_BZ_75;healthReserve;turbocharger;rammer;14.34
china:Ch48_BZ_75;healthReserve;aimingStabilizer;rammer;13.22
china:Ch49_BZ_68;turbocharger;aimingStabilizer;rammer;29.85
china:Ch49_BZ_68;ventilation;aimingStabilizer;rammer;14.96
china:Ch49_BZ_68;healthReserve;aimingStabilizer;rammer;11.53
china:Ch50_BZ_166;turbocharger;aimingStabilizer;rammer;27.21
china:Ch50_BZ_166;ventilation;aimingStabilizer;rammer;16.9
china:Ch50_BZ_166;healthReserve;aimingStabilizer;rammer;15.92
china:Ch51_BZ_58;healthReserve;turbocharger;rammer;15.28
china:Ch51_BZ_58;ventilation;turbocharger;rammer;12.33
china:Ch51_BZ_58;ventilation;improvedSights;rammer;11.96
china:Ch52_WZ_122_6_F3;healthReserve;modernizedImprovedSightsEnhancedAimDrives;aimingStabilizer;11.4
china:Ch52_WZ_122_6_F3;healthReserve;turbocharger;aimingStabilizer;11.34
china:Ch52_WZ_122_6_F3;healthReserve;modernizedTurbochargerRotationMechanism;aimingStabilizer;10.44
china:Ch54_BZ_72_1;modernizedTurbochargerRotationMechanism;aimingStabilizer;rammer;38.55
china:Ch54_BZ_72_1;aimingStabilizer;turbocharger;rammer;13.48
china:Ch54_BZ_72_1;healthReserve;turbocharger;rammer;10.27
china:Ch59_BZ58_2;healthReserve;aimingStabilizer;rammer;26.43
china:Ch59_BZ58_2;turbocharger;aimingStabilizer;rammer;24.54
china:Ch59_BZ58_2;ventilation;aimingStabilizer;rammer;8.89
china:Ch61_DZT_159;turbocharger;aimingStabilizer;rammer;27.11
china:Ch61_DZT_159;modernizedTurbochargerRotationMechanism;aimingStabilizer;rammer;23.16
china:Ch61_DZT_159;ventilation;aimingStabilizer;rammer;12.19
china:Ch65_Type59_IC4_3DSt;ventilation;aimingStabilizer;rammer;37.68
china:Ch65_Type59_IC4_3DSt;aimingStabilizer;rammer;coatedOptics;13.06
china:Ch65_Type59_IC4_3DSt;modernizedTurbochargerRotationMechanism;aimingStabilizer;rammer;10.48
czech:Cz01_Skoda_T40;ventilation;rammer;coatedOptics;21.96
czech:Cz01_Skoda_T40;rotationMechanism;rammer;coatedOptics;13.47
czech:Cz01_Skoda_T40;ventilation;modernizedTurbochargerRotationMechanism;rammer;12.18
czech:Cz02_TVP_T50;ventilation;aimingStabilizer;coatedOptics;13.92
czech:Cz02_TVP_T50;turbocharger;aimingStabilizer;ventilation;12.21
czech:Cz02_TVP_T50;modernizedTurbochargerRotationMechanism;modernizedImprovedSightsEnhancedAimDrives;aimingStabilizer;11.34
czech:Cz04_T50_51;turbocharger;aimingStabilizer;ventilation;10.2
czech:Cz04_T50_51;ventilation;aimingStabilizer;coatedOptics;10.04
czech:Cz04_T50_51;ventilation;improvedSights;aimingStabilizer;9.83
czech:Cz05_T34_100;turbocharger;rammer;coatedOptics;18.68
czech:Cz05_T34_100;ventilation;rammer;coatedOptics;16.08
czech:Cz05_T34_100;ventilation;rotationMechanism;rammer;13.79
czech:Cz07_TVP_46;ventilation;rammer;coatedOptics;18.28
czech:Cz07_TVP_46;ventilation;aimingStabilizer;rammer;16.31
czech:Cz07_TVP_46;turbocharger;rammer;coatedOptics;7.71
czech:Cz08_T_25;ventilation;rotationMechanism;coatedOptics;19.96
czech:Cz08_T_25;ventilation;improvedSights;coatedOptics;15.26
czech:Cz08_T_25;turbocharger;ventilation;coatedOptics;7.51
czech:Cz09_T_24;rammer;coatedOptics;ventilation;36.43
czech:Cz09_T_24;rammer;additInvisibilityDevice;stereoscope;16.46
czech:Cz09_T_24;ventilation;rotationMechanism;coatedOptics;5.78
czech:Cz13_T_27;ventilation;aimingStabilizer;coatedOptics;21.79
czech:Cz13_T_27;turbocharger;aimingStabilizer;coatedOptics;14.87
czech:Cz13_T_27;ventilation;modernizedTurbochargerRotationMechanism;modernizedAimDrivesAimingStabilizer;7.43
czech:Cz14_Skoda_T-56;ventilation;turbocharger;aimingStabilizer;17.72
czech:Cz14_Skoda_T-56;ventilation;improvedSights;aimingStabilizer;10.05
czech:Cz14_Skoda_T-56;ventilation;modernizedTurbochargerRotationMechanism;aimingStabilizer;10.03
czech:Cz14_Skoda_T-56_WT24_3Dst;ventilation;turbocharger;aimingStabilizer;15.44
czech:Cz14_Skoda_T-56_WT24_3Dst;healthReserve;turbocharger;aimingStabilizer;12.02
czech:Cz14_Skoda_T-56_WT24_3Dst;improvedSights;turbocharger;aimingStabilizer;10.13
czech:Cz16_TNH_T_vz51;ventilation;improvedSights;aimingStabilizer;20.4
czech:Cz16_TNH_T_vz51;ventilation;turbocharger;aimingStabilizer;19.25
czech:Cz16_TNH_T_vz51;healthReserve;turbocharger;aimingStabilizer;8.9
czech:Cz17_Vz_55;ventilation;turbocharger;aimingStabilizer;18
czech:Cz17_Vz_55;healthReserve;turbocharger;aimingStabilizer;16.55
czech:Cz17_Vz_55;healthReserve;aimingStabilizer;ventilation;10.7
czech:Cz18_TNH_105_1000;ventilation;improvedSights;aimingStabilizer;26.51
czech:Cz18_TNH_105_1000;ventilation;aimingStabilizer;coatedOptics;12.15
czech:Cz18_TNH_105_1000;ventilation;modernizedTurbochargerRotationMechanism;aimingStabilizer;9.34
czech:Cz19_Vz_44_1;ventilation;rotationMechanism;rammer;24.32
czech:Cz19_Vz_44_1;rammer;turbocharger;rotationMechanism;14.5
czech:Cz19_Vz_44_1;healthReserve;turbocharger;rammer;13.64
czech:Cz20_ShPTK_TVP_100_mm;rammer;turbocharger;coatedOptics;19.65
czech:Cz20_ShPTK_TVP_100_mm;rammer;additInvisibilityDevice;coatedOptics;16.56
czech:Cz20_ShPTK_TVP_100_mm;rammer;improvedSights;coatedOptics;16.47
czech:Cz23_Skoda_T_17;coatedOptics;additInvisibilityDevice;ventilation;31.11
czech:Cz23_Skoda_T_17;coatedOptics;turbocharger;additInvisibilityDevice;14.37
czech:Cz23_Skoda_T_17;coatedOptics;additInvisibilityDevice;aimingStabilizer;13.86
czech:Cz24_Vz_64_Blesk;commandersView;additInvisibilityDevice;coatedOptics;50.8
czech:Cz24_Vz_64_Blesk;commandersView;ventilation;coatedOptics;7.22
czech:Cz24_Vz_64_Blesk;commandersView;turbocharger;coatedOptics;5.77
czech:Cz28_LPT_67_Selma;commandersView;additInvisibilityDevice;coatedOptics;57.56
czech:Cz28_LPT_67_Selma;commandersView;aimingStabilizer;coatedOptics;7.97
czech:Cz28_LPT_67_Selma;commandersView;ventilation;coatedOptics;6.67
czech:Cz33_Vz_68_Squall;commandersView;additInvisibilityDevice;coatedOptics;46.1
czech:Cz33_Vz_68_Squall;commandersView;turbocharger;coatedOptics;8.01
czech:Cz33_Vz_68_Squall;commandersView;additInvisibilityDevice;ventilation;5.03
czech:Cz34_Vz_71_Tesak;commandersView;additInvisibilityDevice;coatedOptics;63.28
czech:Cz34_Vz_71_Tesak;commandersView;additInvisibilityDevice;ventilation;9.81
czech:Cz34_Vz_71_Tesak;commandersView;coatedOptics;ventilation;3.61
czech:Cz35_T56_G;aimingStabilizer;turbocharger;rammer;19.84
czech:Cz35_T56_G;healthReserve;aimingStabilizer;rammer;13.59
czech:Cz35_T56_G;healthReserve;turbocharger;rammer;11.91
france:F05_BDR_G1B;rammer;enhancedAimDrives;coatedOptics;45.63
france:F05_BDR_G1B;turbocharger;coatedOptics;rammer;14.41
france:F05_BDR_G1B;rammer;modernizedTurbochargerRotationMechanism;enhancedAimDrives;10.69
france:F06_ARL_44;rammer;enhancedAimDrives;ventilation;11.16
france:F06_ARL_44;ventilation;rotationMechanism;rammer;8.44
france:F06_ARL_44;ventilation;improvedSights;rammer;7.97
france:F07_AMX_M4_1945;healthReserve;turbocharger;rammer;14.63
france:F07_AMX_M4_1945;healthReserve;rotationMechanism;rammer;13.95
france:F07_AMX_M4_1945;ventilation;turbocharger;rammer;12.42
france:F08_AMX_50_100;healthReserve;aimingStabilizer;ventilation;13.53
france:F08_AMX_50_100;ventilation;turbocharger;aimingStabilizer;10.24
france:F08_AMX_50_100;improvedSights;modernizedTurbochargerRotationMechanism;aimingStabilizer;9.73
france:F09_AMX_50_120;healthReserve;turbocharger;aimingStabilizer;17.58
france:F09_AMX_50_120;healthReserve;aimingStabilizer;ventilation;13.04
france:F09_AMX_50_120;ventilation;improvedSights;aimingStabilizer;9.3
france:F100_Panhard_EBR_90;commandersView;additInvisibilityDevice;coatedOptics;68.68
france:F100_Panhard_EBR_90;coatedOptics;commandersView;rammer;11.96
france:F100_Panhard_EBR_90;commandersView;ventilation;coatedOptics;10.11
france:F106_Panhard_EBR_75_Mle1954;commandersView;coatedOptics;ventilation;45.75
france:F106_Panhard_EBR_75_Mle1954;commandersView;additInvisibilityDevice;coatedOptics;37.49
france:F106_Panhard_EBR_75_Mle1954;coatedOptics;aimingStabilizer;ventilation;5.27
france:F107_Hotchkiss_EBR;coatedOptics;additInvisibilityDevice;ventilation;59.44
france:F107_Hotchkiss_EBR;coatedOptics;rammer;ventilation;12.78
france:F107_Hotchkiss_EBR;coatedOptics;aimingStabilizer;rammer;7.43
france:F108_Panhard_EBR_105;commandersView;additInvisibilityDevice;coatedOptics;72.09
france:F108_Panhard_EBR_105;commandersView;coatedOptics;ventilation;16.33
france:F108_Panhard_EBR_105;ventilation;additInvisibilityDevice;coatedOptics;4.38
france:F109_AMD_Panhard_178B;coatedOptics;additInvisibilityDevice;ventilation;73.38
france:F109_AMD_Panhard_178B;coatedOptics;rammer;ventilation;11.81
france:F109_AMD_Panhard_178B;coatedOptics;additInvisibilityDevice;rammer;4.4
france:F10_AMX_50B;healthReserve;turbocharger;aimingStabilizer;23.2
france:F10_AMX_50B;healthReserve;aimingStabilizer;ventilation;14.96
france:F10_AMX_50B;ventilation;turbocharger;aimingStabilizer;9.89
france:F110_Lynx_6x6;commandersView;additInvisibilityDevice;coatedOptics;62.14
france:F110_Lynx_6x6;commandersView;ventilation;coatedOptics;20.57
france:F110_Lynx_6x6;coatedOptics;commandersView;rammer;3.77
france:F112_M10_RBFM;coatedOptics;additInvisibilityDevice;rammer;11.78
france:F112_M10_RBFM;rotationMechanism;rammer;coatedOptics;9.45
france:F112_M10_RBFM;rammer;turbocharger;coatedOptics;9.11
france:F113_Bretagne_Panther;additInvisibilityDevice;coatedOptics;rammer;16.82
france:F113_Bretagne_Panther;turbocharger;rammer;coatedOptics;12.96
france:F113_Bretagne_Panther;ventilation;rammer;coatedOptics;12.23
france:F114_Projet_4_1;ventilation;aimingStabilizer;coatedOptics;17.61
france:F114_Projet_4_1;ventilation;improvedSights;aimingStabilizer;13.57
france:F114_Projet_4_1;ventilation;commandersView;coatedOptics;7.49
france:F115_Lorraine_50t;healthReserve;aimingStabilizer;rammer;30.5
france:F115_Lorraine_50t;ventilation;aimingStabilizer;rammer;14.73
france:F115_Lorraine_50t;ventilation;modernizedTurbochargerRotationMechanism;improvedSights;7.63
france:F116_Bat_Chatillon_Bourrasque;additInvisibilityDevice;commandersView;coatedOptics;13.49
france:F116_Bat_Chatillon_Bourrasque;coatedOptics;commandersView;aimingStabilizer;11.86
france:F116_Bat_Chatillon_Bourrasque;ventilation;improvedSights;aimingStabilizer;11.46
france:F116_Bat_Chatillon_Bourrasque_DV;ventilation;improvedSights;aimingStabilizer;21.07
france:F116_Bat_Chatillon_Bourrasque_DV;coatedOptics;additInvisibilityDevice;commandersView;16.76
france:F116_Bat_Chatillon_Bourrasque_DV;modernizedTurbochargerRotationMechanism;additInvisibilityDevice;aimingStabilizer;14.13
france:F117_Alt_Proto_AMX_30;ventilation;aimingStabilizer;rammer;46.42
france:F117_Alt_Proto_AMX_30;aimingStabilizer;coatedOptics;rammer;12.08
france:F117_Alt_Proto_AMX_30;turbocharger;aimingStabilizer;rammer;4.94
france:F118_Char_Mle_75;commandersView;additInvisibilityDevice;coatedOptics;53.06
france:F118_Char_Mle_75;aimingStabilizer;additInvisibilityDevice;coatedOptics;11.39
france:F118_Char_Mle_75;commandersView;aimingStabilizer;coatedOptics;6.61
france:F124_AMX_13FL11;coatedOptics;additInvisibilityDevice;ventilation;24.47
france:F124_AMX_13FL11;turbocharger;additInvisibilityDevice;coatedOptics;21.31
france:F124_AMX_13FL11;turbocharger;coatedOptics;stereoscope;10.76
france:F129_ARL_44_BPXIV;ventilation;enhancedAimDrives;rammer;11.45
france:F129_ARL_44_BPXIV;ventilation;turbocharger;rammer;10.74
france:F129_ARL_44_BPXIV;rotationMechanism;turbocharger;rammer;7.36
france:F15_AMX_12t;coatedOptics;additInvisibilityDevice;ventilation;54.17
france:F15_AMX_12t;coatedOptics;additInvisibilityDevice;aimingStabilizer;6
france:F15_AMX_12t;coatedOptics;turbocharger;additInvisibilityDevice;5.95
france:F16_AMX_13_75;coatedOptics;additInvisibilityDevice;ventilation;45.7
france:F16_AMX_13_75;coatedOptics;additInvisibilityDevice;aimingStabilizer;11.67
france:F16_AMX_13_75;ventilation;turbocharger;coatedOptics;11.23
france:F17_AMX_13_90;commandersView;additInvisibilityDevice;coatedOptics;85.74
france:F17_AMX_13_90;commandersView;additInvisibilityDevice;stereoscope;3.32
france:F17_AMX_13_90;additInvisibilityDevice;turbocharger;coatedOptics;3.01
france:F18_Bat_Chatillon25t;coatedOptics;additInvisibilityDevice;commandersView;13.16
france:F18_Bat_Chatillon25t;ventilation;improvedSights;aimingStabilizer;9.39
france:F18_Bat_Chatillon25t;ventilation;commandersView;aimingStabilizer;8.6
france:F19_Lorraine40t;ventilation;aimingStabilizer;coatedOptics;13.71
france:F19_Lorraine40t;ventilation;improvedSights;aimingStabilizer;10.9
france:F19_Lorraine40t;rotationMechanism;aimingStabilizer;ventilation;9.18
france:F23_AMX_13F3AM;rammer;rotationMechanism;enhancedAimDrives;84.26
france:F23_AMX_13F3AM;rammer;turbocharger;enhancedAimDrives;7.28
france:F23_AMX_13F3AM;rammer;modernizedTurbochargerRotationMechanism;enhancedAimDrives;2.75
france:F24_Lorraine155_50;rammer;rotationMechanism;enhancedAimDrives;77.24
france:F24_Lorraine155_50;rammer;enhancedAimDrives;camouflageNet;13.46
france:F24_Lorraine155_50;enhancedAimDrives;modernizedTurbochargerRotationMechanism;rammer;5.66
france:F25_Lorraine155_51;rammer;rotationMechanism;enhancedAimDrives;91.26
france:F25_Lorraine155_51;enhancedAimDrives;turbocharger;rammer;2.84
france:F25_Lorraine155_51;rammer;enhancedAimDrives;camouflageNet;2.16
france:F28_105_leFH18B2;rammer;rotationMechanism;enhancedAimDrives;60.17
france:F28_105_leFH18B2;rammer;turbocharger;enhancedAimDrives;12.59
france:F28_105_leFH18B2;rammer;enhancedAimDrives;stereoscope;5.32
france:F33_S_35CA;improvedSights;rammer;stereoscope;31.97
france:F33_S_35CA;turbocharger;rammer;stereoscope;30.48
france:F33_S_35CA;turbocharger;additInvisibilityDevice;coatedOptics;14.42
france:F34_ARL_V39;coatedOptics;rotationMechanism;ventilation;34.19
france:F34_ARL_V39;rammer;turbocharger;stereoscope;8.1
france:F34_ARL_V39;turbocharger;coatedOptics;rammer;7.81
france:F35_AMX_AC_Mle1946;ventilation;rotationMechanism;rammer;32.77
france:F35_AMX_AC_Mle1946;improvedSights;rammer;ventilation;15.32
france:F35_AMX_AC_Mle1946;rotationMechanism;rammer;coatedOptics;12.77
france:F36_AMX_AC_Mle1948;enhancedAimDrives;modernizedTurbochargerRotationMechanism;ventilation;11.33
france:F36_AMX_AC_Mle1948;ventilation;turbocharger;healthReserve;8.21
france:F36_AMX_AC_Mle1948;turbocharger;improvedSights;ventilation;7.34
france:F37_AMX50_Foch;ventilation;healthReserve;turbocharger;11.99
france:F37_AMX50_Foch;improvedSights;turbocharger;ventilation;8.79
france:F37_AMX50_Foch;rotationMechanism;turbocharger;healthReserve;7.29
france:F38_Bat_Chatillon155_58;rotationMechanism;modernizedTurbochargerRotationMechanism;enhancedAimDrives;48.79
france:F38_Bat_Chatillon155_58;rotationMechanism;turbocharger;enhancedAimDrives;24.76
france:F38_Bat_Chatillon155_58;rotationMechanism;additInvisibilityDevice;enhancedAimDrives;11.51
france:F62_ELC_AMX;coatedOptics;additInvisibilityDevice;ventilation;29.06
france:F62_ELC_AMX;coatedOptics;aimingStabilizer;ventilation;19.53
france:F62_ELC_AMX;camouflageNet;rammer;stereoscope;6.79
france:F64_AMX_50Fosh_155;rotationMechanism;modernizedTurbochargerRotationMechanism;healthReserve;7.98
france:F64_AMX_50Fosh_155;improvedSights;ventilation;enhancedAimDrives;7.88
france:F64_AMX_50Fosh_155;improvedSights;rotationMechanism;ventilation;6.72
france:F64_AMX_50Fosh_B;rotationMechanism;modernizedTurbochargerRotationMechanism;healthReserve;12.97
france:F64_AMX_50Fosh_B;healthReserve;turbocharger;ventilation;10.92
france:F64_AMX_50Fosh_B;ventilation;modernizedTurbochargerRotationMechanism;healthReserve;10.38
france:F67_Bat_Chatillon155_55;rammer;rotationMechanism;enhancedAimDrives;82.98
france:F67_Bat_Chatillon155_55;rotationMechanism;modernizedTurbochargerRotationMechanism;rammer;8.64
france:F67_Bat_Chatillon155_55;camouflageNet;enhancedAimDrives;rammer;2.96
france:F68_AMX_Chasseur_de_char_46;ventilation;turbocharger;rammer;18.28
france:F68_AMX_Chasseur_de_char_46;turbocharger;aimingStabilizer;rammer;16.96
france:F68_AMX_Chasseur_de_char_46;rammer;aimingStabilizer;ventilation;15.64
france:F69_AMX13_57_100;coatedOptics;additInvisibilityDevice;ventilation;27.35
france:F69_AMX13_57_100;additInvisibilityDevice;aimingStabilizer;coatedOptics;19.97
france:F69_AMX13_57_100;ventilation;enhancedAimDrives;coatedOptics;15.73
france:F69_AMX13_57_100_GrandFinal;ventilation;additInvisibilityDevice;coatedOptics;44.9
france:F69_AMX13_57_100_GrandFinal;additInvisibilityDevice;aimingStabilizer;coatedOptics;17.66
france:F69_AMX13_57_100_GrandFinal;coatedOptics;turbocharger;additInvisibilityDevice;7.98
